hostname;ip;;versao;coleta_lic;pleft;
ra20169bd.bsa.brad;172.24.178.180;BDN 6966 POSTO CTN;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39008.gna.brad;172.26.134.70; BDN PAA 26021 BDN PAA PROFESSOR JAMIL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32449.soc.brad;172.27.46.180;AG. 2449 - ALUMINIO;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra06205bd.sdr.brad;172.25.207.44;BDN 2955-22588 SHOP.VILAS BOULE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12664pb.scec.brad;172.24.56.92;PAB 11 RETHA IMSVEIS - AG 0111;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09111.pjk.brad;172.25.110.148;PAB 01 PAB VIACAO PARA TODOS LTDA - AG 0287;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038585.liv.brad;172.25.110.228; 21275 - BDN SUPERMERCADO ZONA SUL IPANEMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038319.jpa.brad;172.17.90.156; BDN 29031 PAA PEDRO REGIS;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra12923bd.fns.brad;172.24.245.108;BDN 0850 SHOPPING BEIRA MAR - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035619.rce.brad;172.24.212.196; 26762 BDN TODO DIA GOIANIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08645ag.cas.brad;172.25.77.52;AG 0892 ENGENHEIRO COELHO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08584ag.cons.brad;172.25.41.212;3312 AG VILA FUNCHAL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra050264.mke.brad;172.25.50.132;BDN 14391 OESP MIDIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra09758.scec.brad;172.24.63.164;PAB 45 HOSP SAO BERNARDO - AG 0109;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20164bd.sts.brad;172.24.241.36;BDN 7373 GONZAGA PRAIA 73;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39670bd.sat1.brad;172.27.217.140; BDN 26212 PAA PEDRA BONITA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra20170bd.scec.brad;172.24.241.44;BDN 1023 SHOPP. MORUMBI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra4587.mbi.brad;172.24.16.148;0092 AG PRACA JULIO MESQUITA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra004799.igs.brad;172.25.24.148;2834 AG AV PIRES DO RIO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08255ag.sdr.brad;172.26.228.102;AG 3026 SENHOR DOS PASSOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37618.cas.brad;172.26.252.166; 21704 BDN SUPERMERCADO SAO VITO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17412ag.fla.brad;172.24.222.140;0687 AG BOA VIAGEM;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra22698.dvl.brad;172.25.218.124;2420 AG COROMANDEL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056823.sat3.brad;172.17.101.76; 29291 BDN PAA PALMEIRANTE;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra12787bd.blm.brad;172.25.221.100;BDN 2864 HIPERMERCADO FORMOSA;1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra059815.sdr.brad;172.26.240.162;29529 BDN MAKRO PETROLINA;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra33982ag.sat1.brad;172.27.80.164;AG.3982 - O&M (AG. DE TESTE);C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22656.cpe.brad;172.25.5.68;2039 AG RIBAS RIO PARDO;1841 (C1841-ADVENTERPRISEK9-M) versao:12.4(4)T;n;-;
ra31892.dvl.brad;172.27.64.196;AG. 1892 PATROCINIO;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra026172.sdr.brad;172.26.253.162;10170 AUTO POSTO GUANABARA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra056761.sdr.brad;172.26.246.102;AG 2613 SHOPPING CONQUISTA SUL;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra31685.bhe.brad;172.27.62.180;AG. 1685 - ITABIRA;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra06459bd.bhe.brad;172.25.147.228;BDN 20136 - POSTO BARRA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra059663.mke.brad;172.26.241.142;29407 BDN ATACADAO GUADALUPE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050274.srr.brad;172.25.72.180;BDN 22663 SUPERMERCADO SANTA CRUZ;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19483bd.gna.brad;172.24.178.68;BDN 3185 TERM.ROD.GOIANIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra12802bd.jfa.brad;172.24.148.28;BDN 20491 BDN REDE SUPER MAIS LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08522ag.cta.brad;172.25.234.212;AG 1731 MARAVILHA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra39100bd.sat1.brad;172.27.117.172; BDN 26087 PAA GLORINHA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08521ag.cta.brad;172.25.234.228;AGC 3340 HIPERMERCADO CONDOR;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra050910.cta.brad;172.25.229.60;BDN 26426 AUTO SHOPPING CURITIBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra31930ag.csl.brad;172.27.46.4;AG 1930 VERANOPOLIS;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra38982.srr.brad;172.25.150.252; BDN 25886 PAA LUTECIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038867.sdr.brad;172.25.227.180; 7641 BDN TERM  RODOVIARIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22630.soc.brad;172.25.4.4;AGP 3466 SOROCABA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08616ag.cens.brad;172.25.142.212;2605 AG PLINIO CASADO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra004362.cdl.brad;172.25.117.156;AG 2539 JOSE LINHARES;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra052720.cta.brad;172.24.234.108;BDN 12172 COMPANHIA AUXILIAR DE VIAGAO E OBRAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra053784.mga.brad;172.24.4.20;28261 BDN PARANA SUPERMERCADOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra01512.fns.brad;172.24.237.84;PAB 1 CENTRO CLINICO HOSP SANTA CATARINA - AG 1512;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050215.ave.brad;172.25.88.76;BDN 25738 BDN WAL MART RAPOSO TAVARES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16681.sts.brad;172.25.72.76;0946 AGP GUARUJA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra032557.mcl.brad;172.27.69.52;2557 AG TAIOBEIRAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra050927.scec.brad;172.17.58.92;AG. 1105 JARDIM SAPOPEMBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08436ag.scec.brad;172.25.88.28; 0084 AG XXV DE MARCO;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra06291bd.bhe.brad;172.25.154.212;BDN 6131 ATM EPA SUPERMERCADO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra017332.cens.brad;172.24.118.20;BDN 21326 RODO SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra15766bd.oco.brad;172.24.49.116;BDN 20952 / 22739 AACD - ASSOCIACAO DE ASSISTENCIA A CRIANGA DEFICIENTE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra052350.cba.brad;172.24.183.148;PAB  PAB 0234-04 MARTINS & MARTINS LTDA - AG;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035653bd.sat1.brad;172.17.31.12; BDN 26862 GROSSOS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19635bd.pae.brad;172.25.251.252;BDN 11997 MOINHOS SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22602.pat.brad;172.25.3.36;AGP 2377 ITAIM BIBI;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra01437bd.soc.brad;172.25.87.164;BDN 20064 SHOPPING SALTO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056252.sat3.brad;172.17.93.92; 29034 BDN PAA QUEIMADA NOVA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra99998.nct.brad;172.24.29.100;PAB 0762-01 - PAB UNIVERSIDADE DE SAO PAULO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra04882ag.sdr.brad;172.25.208.148;3173 AG MARQUES CARAVELAS;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08064ag.soc.brad;172.25.103.180;AG 2257 - AG CAPELA DO ALTO;C2600 (C2600-IS-M) versao:12.2(17a);n;-;
ra026018.sdr.brad;172.26.252.254;20587 BDN HIPERMERCADOS G BARBOSA LOJA 9;C1700 (C1700-BK9NO3R2SY7-M) versao:12.2(15)T16;n;-;
ra22450.csl.brad;172.25.167.60;AG. 0344 CONCORDIA - INTERFACE;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra37896bd.sat1.brad;172.27.140.220; BDN 25669 PAA PINGO D`AGUA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38011pb.sat1.brad;172.27.66.68;PAB 0076-01 NOVA AMERICA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08483ag.sts.brad;172.25.75.68;0481 AG CUBATAO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra22603.igs.brad;172.25.3.44;AGP 2380 MOEMA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra035387bd.sat1.brad;172.17.11.188; BDN 27725 PAA AMARALINA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04644ag.pat.brad;172.25.33.252; 0495 AG AV IBIRAPUERA;2800 (C2800NM-ENTBASE-M) versao:12.3(14)T5;n;-;
ra008314.ula.brad;172.26.134.22;AG 2570 SALES OLIVEIRA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra08520ag.cta.brad;172.24.125.220;AG 3051 SHOPPING ESTACAO - INTERFACE;C2600 (C2600-IS-M) versao:12.2(17a);n;-;
ra05008ag.blm.brad;172.24.186.36;2046 AG TELEGRAFO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035889.bru.brad;172.17.49.60; BDN 27321 PAA ALFREDO MARCONDES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra060360.blm.brad;172.26.237.50;29593 BDN RIO ANIL SHOPPING;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra039794.jpa.brad;172.26.252.146;20805 BDN CHAPLIN EMPREENDIMENTOS TURISTICOS LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra030251.bsa.brad;172.27.50.4;AG. 0251 - PORANGATU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra16341pb.cens.brad;172.24.163.12;PAB 7 TELEVISAO RECORD DO RIO DE JANEIRO LTDA - AG 1499;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39600bd.sat1.brad;172.27.117.220; BDN 26089 PAA MARTINOPOLE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00740ag.rpo.brad;172.25.93.36;AG 2081 PEDREGULHO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra035265.scec.brad;172.25.226.140;  21457 BDN COMPRE BEM JARDIM ANGELA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39354.fla.brad;172.26.132.250; BDN PAA 22585 BDN PAA PREFEITURA GROAIRAS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39112bd.sat1.brad;172.27.111.76; BDN 26080 PAA CALUMBI;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra37609.bsa.brad;172.26.233.14;BRADESCO - 7124 BDN SUPERM.PLANALTAO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060151.csl.brad;172.26.239.30;  29564_29565 BDN SAN PELEGRINO SHOPPING MALL;C1700 (C1700-BNR2Y-M) versao:12.2(15)T16;n;-;
ra04815.pjk.brad;172.25.25.36;2870 AG MOEMA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra008504.jve.brad;172.25.245.60;AG 1609 BARRA VELHA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra060336.rce.brad;;;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08806bd.pae.brad;172.25.251.12;3136 - ATM PAG ZIVI;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra060081.pae.brad;172.25.68.140;PAB 1 PAQUETTA BAHIA (DISPORT) - AG 993;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19830bd.srr.brad;172.24.243.108;BDN 1452 TARRAF ADM DE CONS S/C LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra16638bd.gna.brad;172.25.183.236;BDN 21602 CARREFOUR APARECIDA GOIANIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra030793.jpa.brad;172.25.99.212;0793 AG BELEM;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra17426ag.fla.brad;172.24.222.252;AG 0719 ITAPAGE - CE;C1700 (C1700-BNR2SY7-M) versao:12.3(17b);n;-;
ra035894bd.sat1.brad;172.17.49.140; BDN 27285 PAA DOUTOR ULYSSES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra061904.rce.brad;172.26.249.174;02 PAB GRE RECIFE - AG 1055;C1900 (C1900-UNIVERSALK9-M) versao:15.0(1)M4;y;Period left: Life time;
ra035950.sat.brad;172.17.76.124;BDN 27975 ROSARUM AUTO POSTO LTDA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04884ag.sdr.brad;172.25.210.212;3237 AG LARGO DO TAMQUE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra38711bd.sat1.brad;172.27.29.76; BDN 22679 BDN PAA BARRA DO SUL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055154.nct.brad;172.25.229.180;27885 BDN SUPERMERCADO EXTRA FACIL IRMAOS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra37616bd.sat1.brad;172.27.244.92;BDN 12092 BDN PAE VOMPAR REFRIGERANTES S/A;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20370pb.bhe.brad;172.24.155.36;PAB 1 CNH LATINO AMERICANA LTDA - AG 466;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035193bd.sat1.brad;172.27.47.12; BDN 27906 PAA COQUEIROS DO SUL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra055732.bru.brad;172.24.87.180;50131 BDN PAE MULTICOBRA COBRANCA LTDA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra056281.fla.brad;172.25.145.76;28722 BDN HEMOCE CENTRO DE HEMATOLOGIA E HEMOTERAPIA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19981bd.rce.brad;172.24.97.148;BDN 3457   PHILIPS E.NORDES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32273ag.sat1.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra035492.csc.brad;172.25.104.228;BDN 14707 BDN FONTHE INDUSTRIA E COMERCIO DE CONFECCOES - INTERFACE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra12911.mbi.brad;172.24.33.76;1728_20251_27933 BDN HIPM P MENDONCA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056963.soc.brad;172.26.245.238;29275 BDN SHOPPING VILLA D OURO;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra22455.bru.brad;172.25.18.252;2279 AG RIBEIRAO DO SUL;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39123bd.sat1.brad;172.27.153.172; BDN 26141 PAA APORE;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra04931ag.nct.brad;172.25.22.12;AG 3381 EMPRESAS PAULISTA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra053338.poc.brad;172.24.245.180;22612_22613 BDN ATACADAO PARADA DE TAIPAS PIRITUBA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra016178.mbi.brad;172.24.23.100;0601 AG PARADA DE TAIPAS - SP;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32835ag.sat1.brad;172.27.96.244;AG. 2835 - ARM. DA PENHA;2801 (C2801-ENTBASE-M) versao:12.3(14)T6;n;-;
ra050771.cta.brad;;;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra05051.gna.brad;172.25.181.132;2838 AG AV INDEPENDENCIA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra051963.rce.brad;172.24.197.196;BDN PAE SECRET.DE FINANCAS DO MUNICIPIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39823bd.sat1.brad;172.27.119.28;BDN 12202 - PETROBRAS;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038137bd.sat1.brad;172.27.178.188; BDN 28406 PAA LAGOA DO TOCANTINS;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra32074ag.sat1.brad;172.27.95.172;AG 2074 VENANCIO AIRES;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17499bd.fla.brad;172.24.200.84;BDN 14990 SEDUC;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra22816.csc.brad;172.25.130.116;AG. 1639 LARANJEIRAS DO SUL - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra20347bd.rce.brad;172.24.42.4;BDN 22653 HIPERMERCADO EXTRA BENFICA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra055767.mke.brad;172.25.75.132;50133 BDN PAE FLUMINENSE FOOTBAAL CLUB;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra19280bd.pat.brad;172.24.239.28;21795_27498 BDN SUPERMERCADO ROD RAF!0 @D;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra08035ag.srr.brad;172.25.100.4;AG 0023 S.JOSE DO RIO PRETO;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra08127ag.sdr.brad;172.25.212.12;AG 3528 LIVRAMENTO NOSSA SENHORA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra18567bd.cens.brad;172.24.36.220;BDN 8167 C AUTOMOTIVO NA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035241bd.sat1.brad;172.17.58.140; BDN 27568 PAA JAPARAIBA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra31691.dvl.brad;172.27.62.196;AG. 1691 - ARAXA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra19788.pat.brad;172.25.204.140;BDN 6446 SHOP. IBIRAPUERA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra038168bd.sat1.brad;172.17.78.60; BDN 28497 PAA CARRASCO BONITO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra08346ag.mbi.brad;172.25.27.212;INTERFACE DE   - 0420 AG JD PAULISTA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra22347.cpe.brad;172.25.157.68;1569 AG RIO BRILHANTE;C2600 (C2600-IS-M) versao:12.2(8)T5;n;-;
ra04419ag.cine.brad;172.25.107.60;AGC 2944 AEROPORTO STOS DUMONT;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra16960pb.fla.brad;172.24.161.20;PAB 01 DAKOTA DO NORDESTE S.A - AG 1579;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra39376.csc.brad;172.25.123.124;BDN 13332 BDN BERTIN - INTERFACE;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035112bd.sat1.brad;172.27.13.204; BDN 27706 PAA ARROZAL (DISTRITO);1841 (C1841-ENTBASEK9-M) versao:12.4(5a);n;-;
ra21466bd.mbi.brad;172.25.239.4;BDN 22419 GOODYEAR DO BRASIL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra17017bd.nct.brad;172.24.45.164;BDN 21253 SHOPPING RAPOSO TAVAVEZ;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056224.rce.brad;172.25.195.180;29032_PAA_63 BDN PAA PRATA;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra035211.srr.brad;172.17.4.252; BDN 26306 PAA PONTES GESTAL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16275bd.srr.brad;172.24.99.156;BDN 13385 PE COM PE CALCADOS LTDA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra38995bd.sat1.brad;172.27.230.236; BDN 25890 PAA ROSANA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra033587.sat3.brad;172.27.113.12;AG 3587 AG SANTA CRUZ DA VITORIA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra19933pb.bhe.brad;172.24.167.116;PAB 03 STA CASA MISERICORDIA BHE - AG 3435;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra056140.poc.brad;172.25.236.124;AG 1829 SUPERM SONDA VILA RIO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra39811.pae.brad;172.25.148.84;13458 BDN SOCIEADE SULINA DIVINA PROVIDENCIA-HOSPITAL;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra16546bd.fla.brad;172.24.218.148; 20786 BDN SHOPPING MARACANAU;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra18844.cas.brad;172.25.138.164;1030 AGP MORAES SALES;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra22580.srr.brad;172.25.18.68;2031 AG RIOLANDIA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra035926bd.sat1.brad;172.17.51.172; BDN 27396 PAA CONCEICAO DO LAGO-ACU;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra22177.cba.brad;172.25.2.80;801 AG ARAPUTANGA;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra09961pb.fla.brad;172.25.222.220;PAB 05 ABRAHCO OTOCH - AG 0452;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra05001ag.jfa.brad;172.24.100.4;2868 AG BENFICA;2801 (C2801-ENTBASE-M) versao:12.3(14)T5;n;-;
ra059650.sdr.brad;172.26.244.154; 28720_28721 BDN PRACA DAIRY WALLEY;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra051310.jpa.brad;172.24.158.124;1104 AG MANAIRA;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
ra00741ag.soc.brad;172.26.132.218;AG 2409 ANGATUBA - TITULAR;1841 (C1841-ENTSERVICESK9-M) versao:12.4(25a);n;-;
ra022048.csc.brad;172.25.167.44;1534 AG TRES DE MAIO;C1700 (C1700-BNR2Y-M) versao:12.2(8)T5;n;-;
ra038247.cba.brad;172.26.252.14;27505 BDN SUPERMERCADO FAVORITO;1841 (C1841-ENTBASEK9-M) versao:12.4(5);n;-;
